year,team,player,jersey,position,gp,mp,s,ms,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,r_err,block_solos,block_assists,b_err,pts,bhe,trpl_dbl
2018-19,A&M-Corpus Christi,"Carter, Julia",17,MB,17,17,65,14,176,74,485,0.21,6,8,14,37,13,4,20,3,198,NA,NA
2019-20,A&M-Corpus Christi,"Carter, Julia",17,MB,29,29,76,NA,102,47,349,0.158,8,NA,2,24,1,9,17,5,119.5,3,0
2020-21,A&M-Corpus Christi,"Carter, Julia",17,MB,19,19,50,NA,61,27,196,0.173,8,NA,NA,18,NA,3,7,1,67.5,2,NA
2021-22,A&M-Corpus Christi,"Carter, Julia",17,MB,29,29,97,NA,174,72,568,0.18,8,2,3,48,3,17,24,3,205,NA,NA
Totals,Totals,"Carter, Julia",17,MB,94,94,288,14,513,220,1598,0.721,30,10,19,127,17,33,68,12,590,5,NA
2021-22,A&M-Corpus Christi,"Payne, Kyndal",9,OH,29,29,102,NA,344,123,867,0.255,28,19,25,164,22,22,23,3,396.5,NA,NA
Totals,Totals,"Payne, Kyndal",9,OH,29,29,102,NA,344,123,867,0.255,28,19,25,164,22,22,23,3,396.5,NA,NA
2017-18,Fresno St.,"Uigaese, Montez",12,MB,65,23,65,6,73,48,271,0.092,NA,1,8,27,11,8,24,5,94,NA,NA
2018-19,Fresno St.,"Uigaese, Montez",12,MB,17,17,62,14,65,27,174,0.218,3,11,25,33,1,7,56,8,111,NA,NA
2019-20,Fresno St.,"Uigaese, Montez",12,MB,22,22,60,5,67,37,199,0.151,NA,6,9,12,NA,NA,14,2,80,1,0
2020-21,A&M-Corpus Christi,"Uigaese, Montez",12,MB,19,19,68,NA,125,41,350,0.24,1,3,3,25,NA,7,15,NA,142.5,1,NA
2021-22,A&M-Corpus Christi,"Uigaese, Montez",12,MB,29,29,89,NA,224,74,526,0.285,6,NA,NA,29,2,6,26,1,243,1,NA
Totals,Totals,"Uigaese, Montez",12,MB,152,110,344,25,554,227,1520,0.987,10,21,45,126,14,28,135,16,670.5,3,NA
2021-22,A&M-Corpus Christi,"White, Kayla",4,L,29,29,103,NA,3,0,13,0.231,35,22,17,201,23,NA,NA,NA,25,NA,NA
Totals,Totals,"White, Kayla",4,L,29,29,103,NA,3,0,13,0.231,35,22,17,201,23,NA,NA,NA,25,NA,NA
