Jersey,Player,Yr,Pos,Ht,GP,GS,MP,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,...26,...27,team,season,jersey,full_name,roster_name,last_name,first_name,yr,pos,feet,inches,gp,gs,mp,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,r_err,block_solos,block_assists,b_err,pts,bhe
17,"Carter, Julia",Sr,MB,6-5,29,17,29,97,NA,174,72,,568,0.180,8,2,3,48,3,17,24,3,32,205.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Payne, Kyndal",Fr,OH,5-11,29,26,29,102,NA,344,123,,867,0.255,28,19,25,164,22,22,23,3,36.5,396.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Uigaese, Montez",Sr,MB,6-2,29,15,29,89,NA,224,74,,526,0.285,6,NA,,29,2,6,26,1,20,243.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"White, Kayla",Fr,L,5-4,29,12,29,103,NA,3,0,,13,0.231,35,22,17,201,23,NA,NA,,NA,25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Panhans, Faith",Jr,S,5-11,29,29,29,102,NA,167,55,,392,0.286,"1,000",28,41,175,NA,6,21,6,22.5,211.5,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Felan, Angel",Sr,S,5-7,27,8,27,92,NA,1,1,,14,0.000,46,13,17,127,1,NA,NA,,NA,14.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Young, Rachel",Sr,MB,6-1,26,26,26,93,NA,237,60,,531,0.333,19,13,18,76,1,9,37,1,28.5,277.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Barnes, Carissa",Jr,L,5-7,26,0,26,94,NA,2,1,,17,0.059,72,38,33,608,20,NA,NA,,NA,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Filipiak, Kylie",Sr,OH,5-9,24,7,24,52,NA,60,29,,203,0.153,7,NA,3,51,4,NA,2,,1,61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Litterell, Ella",So,OH,6-2,23,5,23,57,NA,16,16,,61,0.000,5,12,12,59,21,1,NA,,1,29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Stolfus, Leah",Fr,MB,6-0,23,17,23,69,NA,98,31,,250,0.268,12,NA,,39,1,7,31,4,26.5,120.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
