date,team,opponent,home_away,result,team_score,opponent_score,s,mp.x,attend,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,r_err,block_solos,block_assists,b_err,pts.x,bhe.x,mp.y,defensive_attend,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,pts.y,bhe.y
2019-08-30,A&M-Corpus Christi Islanders,UT Arlington ,Away,Loss,2,3,5,1,0,58,22,156,0.231,45,10,10,67,5,2,4,0,72,1,1,0,54,15,155,0.252,47,5,3,61,10,2,20,2,71,4
2019-08-30,A&M-Corpus Christi Islanders,Houston,Away,Win,3,0,3,1,0,49,16,112,0.295,48,4,6,47,7,0,2,0,0,NA,1,0,37,19,111,0.162,31,7,4,33,4,2,2,0,0,1
2019-08-31,A&M-Corpus Christi Islanders,"Arizona St. Houston, Texas",Away,Loss,1,3,4,0,0,46,17,147,0.197,37,2,5,64,12,1,0,0,49,3,0,0,52,14,146,0.26,43,12,8,65,3,5,0,0,69,1
2019-09-04,A&M-Corpus Christi Islanders,UTRGV,Home,Loss,2,3,5,1,0,61,26,167,0.21,57,6,9,60,7,4,6,0,74,2,1,0,58,19,146,0.267,56,7,8,61,6,7,20,0,82,3
2019-09-06,A&M-Corpus Christi Islanders,New Mexico ,Away,Win,3,0,3,1,0,48,12,104,0.346,41,2,7,51,4,0,6,0,53,NA,1,0,31,14,102,0.167,28,4,5,38,2,1,4,4,38,6
2019-09-06,A&M-Corpus Christi Islanders,UTEP,Away,Loss,2,3,5,0,0,49,29,135,0.148,45,5,7,49,11,2,4,1,58,NA,0,0,47,24,126,0.183,42,11,7,50,5,8,10,3,71,NA
2019-09-07,A&M-Corpus Christi Islanders,"Coppin St. El Paso, Texas",Away,Win,3,1,4,0,0,52,19,123,0.268,52,13,10,59,1,1,8,1,70,NA,0,0,36,13,119,0.193,33,1,14,45,13,1,4,0,40,NA
2019-09-12,A&M-Corpus Christi Islanders,Southeastern La.,Away,Win,3,2,5,1,0,53,23,157,0.191,51,14,10,69,8,3,10,1,75,1,1,0,58,25,166,0.199,47,8,10,74,14,0,4,5,68,NA
2019-09-13,A&M-Corpus Christi Islanders,Jackson St. ,Away,Win,3,1,4,1,0,46,27,139,0.137,41,8,11,68,2,3,6,0,60,3,1,0,38,24,141,0.099,37,2,9,58,8,5,6,4,48,2
2019-09-14,A&M-Corpus Christi Islanders,California Baptist ,Away,Win,3,0,3,1,0,44,12,127,0.252,41,2,6,59,4,3,8,1,53,2,1,0,40,26,130,0.108,34,4,2,58,2,0,6,3,47,2
2019-09-17,A&M-Corpus Christi Islanders,UTRGV,Away,Win,3,0,3,1,0,47,14,111,0.297,44,6,10,51,2,1,0,1,54,NA,1,0,38,12,102,0.255,36,2,7,41,6,4,6,1,47,2
2019-09-20,A&M-Corpus Christi Islanders,Purdue,Away,Loss,0,3,3,1,0,22,11,84,0.131,18,0,7,27,6,0,2,0,23,NA,1,0,49,3,84,0.548,45,6,11,40,0,1,14,0,63,NA
2019-09-20,A&M-Corpus Christi Islanders,Eastern Mich. Holloway Gymnasium,Away,Loss,0,3,3,0,0,38,19,127,0.15,35,4,5,61,4,0,10,1,47,NA,0,0,45,10,121,0.289,42,4,5,60,4,0,16,0,57,3
2019-09-21,A&M-Corpus Christi Islanders,Murray St. ,Away,Win,3,1,4,1,0,53,10,114,0.377,50,12,14,46,10,1,6,1,69,NA,1,0,55,18,133,0.278,48,10,16,35,12,0,0,0,65,1
