URL,Institution,Conference,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
http://stats.ncaa.org/team/26172/14242,A&M-Corpus Christi,Southland,,111,,"1,365",616,"3,968",0.189,"1,275",131,241,"1,671",160,19,229,19,"1,629.50",36
http://stats.ncaa.org/team/2/14242,Abilene Christian,Southland,,118,,"1,428",622,"4,293",0.188,"1,319",130,174,"1,808",161,30,490,31,"1,833.00",12
http://stats.ncaa.org/team/721/14242,Air Force,Mountain West,,128,,"1,627",721,"4,455",0.203,"1,547",182,340,"1,895",137,46,418,53,"2,064.00",44
http://stats.ncaa.org/team/5/14242,Akron,MAC,,103,,"1,280",549,"3,650",0.2,"1,191",145,218,"1,449",150,23,266,25,"1,581.00",41
http://stats.ncaa.org/team/8/14242,Alabama,SEC,,116,,"1,504",588,"4,192",0.219,"1,403",148,212,"1,864",109,84,365,54,"1,918.50",47
http://stats.ncaa.org/team/6/14242,Alabama A&M,SWAC,,129,,"1,521",608,"4,020",0.227,"1,415",173,163,"1,777",239,70,327,108,"1,927.50",40
http://stats.ncaa.org/team/7/14242,Alabama St.,SWAC,,142,,"1,619",830,"4,437",0.178,"1,488",210,250,"1,791",271,90,356,44,"2,097.00",46
http://stats.ncaa.org/team/14/14242,Albany (NY),America East,,102,,"1,202",529,"3,566",0.189,"1,119",123,152,"1,648",122,51,314,42,"1,533.00",31
http://stats.ncaa.org/team/17/14242,Alcorn,SWAC,,110,,"1,119",643,"3,442",0.138,"1,028",218,248,"1,332",175,41,199,14,"1,477.50",76
http://stats.ncaa.org/team/23/14242,American,Patriot,,121,,"1,533",517,"4,054",0.251,"1,423",134,260,"1,807",153,63,498,50,"1,979.00",25
http://stats.ncaa.org/team/27/14242,App State,Sun Belt,,112,,"1,547",638,"4,187",0.217,"1,440",166,202,"1,743",95,71,260,47,"1,914.00",28
http://stats.ncaa.org/team/29/14242,Arizona,Pac-12,,125,,"1,733",665,"4,508",0.237,"1,584",131,254,"1,919",138,70,388,47,"2,128.00",9
http://stats.ncaa.org/team/28/14242,Arizona St.,Pac-12,,113,,"1,405",627,"4,048",0.192,"1,326",130,245,"1,826",128,94,241,36,"1,749.50",33
http://stats.ncaa.org/team/2678/14242,Ark.-Pine Bluff,SWAC,,99,,992,538,"3,388",0.134,917,137,213,"1,359",192,46,250,40,"1,300.00",17
