URL,Institution,Conference,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
http://stats.ncaa.org/team/26172/14942,A&M-Corpus Christi,Southland,117,,,"1,524",558,"4,141",0.233,"1,421",184,229,"1,830",171,41,184,27,"1,787.00",37
http://stats.ncaa.org/team/2/14942,Abilene Christian,Southland,93,,,"1,054",449,"3,191",0.19,979,101,148,"1,318",124,24,343,32,"1,203.00",33
http://stats.ncaa.org/team/721/14942,Air Force,Mountain West,114,,,"1,375",767,"3,991",0.152,"1,299",153,242,"1,556",153,34,289,51,"1,565.50",29
http://stats.ncaa.org/team/5/14942,Akron,MAC,103,,,"1,325",557,"3,742",0.205,"1,211",160,254,"1,695",116,56,290,23,"1,533.00",17
http://stats.ncaa.org/team/8/14942,Alabama,SEC,105,,,"1,235",534,"3,484",0.201,"1,142",121,198,"1,396",139,68,352,49,"1,416.00",19
http://stats.ncaa.org/team/6/14942,Alabama A&M,SWAC,114,,,"1,347",487,"3,667",0.235,"1,169",145,142,"1,593",188,80,240,53,"1,561.00",18
http://stats.ncaa.org/team/7/14942,Alabama St.,SWAC,142,,,"1,708",777,"4,591",0.203,"1,524",201,222,"1,859",201,99,281,45,"2,013.00",54
http://stats.ncaa.org/team/14/14942,Albany (NY),America East,99,,,"1,181",518,"3,208",0.207,"1,077",141,199,"1,258",125,52,422,66,"1,371.00",14
http://stats.ncaa.org/team/17/14942,Alcorn,SWAC,102,,,913,601,"3,161",0.099,800,153,219,"1,233",200,35,186,26,"1,194.00",49
http://stats.ncaa.org/team/23/14942,American,Patriot,120,,,"1,601",527,"4,140",0.259,"1,431",235,289,"1,788",132,61,386,45,"2,007.50",38
http://stats.ncaa.org/team/27/14942,App State,Sun Belt,116,,,"1,485",655,"4,177",0.199,"1,352",166,256,"1,642",145,75,272,59,"1,862.00",28
http://stats.ncaa.org/team/29/14942,Arizona,Pac-12,117,,,"1,520",574,"4,046",0.234,"1,378",112,231,"1,723",146,79,308,54,"1,865.00",9
http://stats.ncaa.org/team/28/14942,Arizona St.,Pac-12,124,,,"1,548",600,"4,415",0.215,"1,451",141,261,"1,963",136,91,303,33,"1,931.50",27
http://stats.ncaa.org/team/2678/14942,Ark.-Pine Bluff,SWAC,124,,,"1,292",656,"4,404",0.144,"1,133",187,213,"1,670",200,93,210,62,"1,648.00",43
http://stats.ncaa.org/team/31/14942,Arkansas,SEC,113,,,"1,374",654,"3,796",0.19,"1,287",151,253,"1,437",173,37,358,24,"1,741.00",22
http://stats.ncaa.org/team/30/14942,Arkansas St.,Sun Belt,116,,,"1,473",653,"4,198",0.195,"1,326",163,189,"1,799",109,78,324,37,"1,756.00",51
http://stats.ncaa.org/team/725/14942,Army West Point,Patriot,116,,,"1,552",623,"4,324",0.215,"1,431",178,217,"2,021",120,67,425,66,"1,824.50",14
