URL,Institution,Conference,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
http://stats.ncaa.org/team/26172/15460,A&M-Corpus Christi,Southland,69,,,994,288,"2,524",0.28,899,95,137,"1,110",87,43,126,4,"1,195.00",28
http://stats.ncaa.org/team/2/15460,Abilene Christian,Southland,59,,,695,324,"2,107",0.176,624,60,78,854,73,15,174,15,857,24
http://stats.ncaa.org/team/721/15460,Air Force,Mountain West,53,,,674,318,"1,771",0.201,620,89,133,714,96,17,153,18,856.5,11
http://stats.ncaa.org/team/5/15460,Akron,MAC,90,,,"1,101",507,"3,479",0.171,"1,004",143,163,"1,530",117,23,275,17,"1,404.50",17
http://stats.ncaa.org/team/8/15460,Alabama,SEC,82,,,979,497,"2,777",0.174,899,117,191,"1,101",123,50,186,29,"1,239.00",26
http://stats.ncaa.org/team/14/15460,Albany (NY),America East,51,,,662,280,"1,922",0.199,606,65,79,888,50,8,202,19,836,16
http://stats.ncaa.org/team/17/15460,Alcorn,SWAC,33,,,321,217,"1,118",0.093,291,49,52,504,49,12,48,15,406,25
http://stats.ncaa.org/team/23/15460,American,Patriot,32,,,383,143,"1,102",0.218,348,32,74,483,54,11,102,11,477,18
http://stats.ncaa.org/team/27/15460,App State,Sun Belt,57,,,578,372,"1,868",0.11,530,79,153,698,95,27,162,16,765,21
http://stats.ncaa.org/team/29/15460,Arizona,Pac-12,75,,,943,443,"2,585",0.193,848,98,156,"1,054",117,32,223,28,"1,184.50",14
http://stats.ncaa.org/team/28/15460,Arizona St.,Pac-12,79,,,888,368,"2,638",0.197,812,111,182,"1,147",130,33,254,16,"1,159.00",9
http://stats.ncaa.org/team/2678/15460,Ark.-Pine Bluff,SWAC,45,,,554,225,"1,745",0.189,510,74,80,908,53,51,91,24,724.5,6
http://stats.ncaa.org/team/31/15460,Arkansas,SEC,83,,,"1,075",426,"2,961",0.219,992,131,226,"1,209",99,29,252,30,"1,361.00",17
http://stats.ncaa.org/team/30/15460,Arkansas St.,Sun Belt,66,,,801,350,"2,618",0.172,729,69,93,"1,182",67,55,268,30,"1,059.00",37
http://stats.ncaa.org/team/725/15460,Army West Point,Patriot,33,,,434,229,"1,312",0.156,386,39,79,593,35,10,76,13,521,4
http://stats.ncaa.org/team/37/15460,Auburn,SEC,25,,,234,148,833,0.103,220,15,65,305,44,5,98,6,303,7
http://stats.ncaa.org/team/43/15460,Austin Peay,OVC,49,,,679,251,"1,807",0.237,630,66,70,784,66,18,128,14,827,9
http://stats.ncaa.org/team/47/15460,Ball St.,MAC,80,,,995,385,"2,930",0.208,908,75,107,"1,324",90,36,327,25,"1,269.50",22
http://stats.ncaa.org/team/51/15460,Baylor,Big 12,104,,,"1,376",507,"3,401",0.256,"1,270",105,240,"1,413",104,43,457,53,"1,752.50",43
http://stats.ncaa.org/team/52/15460,Bellarmine,ASUN,60,,,671,387,"2,096",0.135,636,45,56,868,86,21,137,12,805.5,14
http://stats.ncaa.org/team/14927/15460,Belmont,OVC,58,,,641,340,"2,045",0.147,590,59,127,797,90,23,165,25,805.5,19
http://stats.ncaa.org/team/62/15460,Binghamton,America East,48,,,549,278,"1,665",0.163,486,78,148,630,82,13,127,12,703.5,18
http://stats.ncaa.org/team/66/15460,Boise St.,Mountain West,55,,,715,275,"1,902",0.231,650,90,74,811,75,12,295,24,964.5,16
http://stats.ncaa.org/team/67/15460,Boston College,ACC,58,,,607,326,"1,934",0.145,565,82,78,712,71,36,164,22,807,16
http://stats.ncaa.org/team/71/15460,Bowling Green,MAC,92,,,"1,240",407,"3,415",0.244,"1,162",138,166,"1,546",91,29,356,28,"1,585.00",22
http://stats.ncaa.org/team/72/15460,Bradley,MVC,69,,,921,376,"2,879",0.189,880,88,65,"1,409",86,45,220,10,"1,164.00",8
http://stats.ncaa.org/team/81/15460,Bryant,NEC,43,,,571,272,"1,623",0.184,505,57,84,723,36,17,184,11,737,20
http://stats.ncaa.org/team/83/15460,Bucknell,Patriot,16,,,195,86,585,0.186,177,23,31,263,19,4,56,9,250,3
http://stats.ncaa.org/team/86/15460,Buffalo,MAC,78,,,967,406,"2,796",0.201,884,93,186,"1,039",121,17,204,15,"1,179.00",22
http://stats.ncaa.org/team/87/15460,Butler,Big East,54,,,635,333,"2,108",0.143,590,57,89,945,66,23,180,13,805,11
http://stats.ncaa.org/team/77/15460,BYU,WCC,63,,,900,243,"2,179",0.302,845,99,150,988,93,21,271,14,"1,155.50",7
http://stats.ncaa.org/team/107/15460,California,Pac-12,76,,,762,460,"2,454",0.123,708,85,145,939,165,22,160,43,949,21
http://stats.ncaa.org/team/30135/15460,California Baptist,WAC,45,,,541,234,"1,602",0.192,514,57,71,647,59,17,110,12,670,8
http://stats.ncaa.org/team/115/15460,Campbell,Big South,52,,,723,332,"1,926",0.203,675,91,90,886,71,20,172,7,920,9
http://stats.ncaa.org/team/116/15460,Canisius,MAAC,49,,,634,233,"1,980",0.203,569,63,72,"1,010",65,47,153,21,820.5,5
http://stats.ncaa.org/team/1004/15460,Central Ark.,Southland,76,,,"1,008",389,"2,782",0.223,954,75,77,"1,226",102,47,217,28,"1,238.50",30
