URL,Institution,Conference,MP,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,SrvAtt
http://stats.ncaa.org/team/26172/15820,A&M-Corpus Christi,Southland,,103,,"1,380",495,"3,615",0.245,"1,265",151,175,"1,612",128,73,182,20,"1,695.00",21,
http://stats.ncaa.org/team/2/15820,Abilene Christian,WAC,,86,,"1,124",531,"3,251",0.182,"1,041",98,148,"1,394",112,15,256,44,"1,365.00",21,
http://stats.ncaa.org/team/721/15820,Air Force,Mountain West,,101,,"1,160",567,"3,140",0.189,"1,050",139,243,"1,133",182,40,351,30,"1,514.50",36,
http://stats.ncaa.org/team/5/15820,Akron,MAC,,115,,"1,389",645,"4,199",0.177,"1,242",144,216,"1,646",129,53,343,22,"1,757.50",15,
http://stats.ncaa.org/team/8/15820,Alabama,SEC,,108,,"1,295",645,"3,822",0.17,"1,176",137,198,"1,544",130,59,277,44,"1,629.50",24,
http://stats.ncaa.org/team/6/15820,Alabama A&M,SWAC,,94,,753,563,"2,682",0.071,659,114,137,"1,007",250,41,157,29,986.5,51,
http://stats.ncaa.org/team/7/15820,Alabama St.,SWAC,,123,,"1,422",647,"3,761",0.206,"1,289",210,225,"1,521",226,89,260,71,"1,851.00",41,
http://stats.ncaa.org/team/14/15820,Albany (NY),America East,,111,,"1,381",638,"3,839",0.194,"1,288",155,226,"1,522",156,30,461,58,"1,796.50",28,
http://stats.ncaa.org/team/17/15820,Alcorn,SWAC,,99,,989,695,"3,461",0.085,887,121,170,"1,379",192,37,144,34,"1,219.00",60,
http://stats.ncaa.org/team/23/15820,American,Patriot,,128,,"1,507",638,"4,408",0.197,"1,365",184,235,"1,933",207,38,436,42,"1,947.00",38,
http://stats.ncaa.org/team/27/15820,App State,Sun Belt,,109,,"1,219",647,"3,709",0.154,"1,097",130,233,"1,440",173,56,246,35,"1,528.00",40,
http://stats.ncaa.org/team/29/15820,Arizona,Pac-12,,117,,"1,478",619,"3,926",0.219,"1,334",165,299,"1,567",191,57,376,29,"1,888.00",21,
http://stats.ncaa.org/team/28/15820,Arizona St.,Pac-12,,126,,"1,527",589,"4,282",0.219,"1,426",159,279,"1,827",198,63,346,30,"1,922.00",16,
http://stats.ncaa.org/team/2678/15820,Ark.-Pine Bluff,SWAC,,115,,"1,339",623,"4,213",0.17,"1,223",182,199,"1,975",183,107,276,39,"1,766.00",36,
http://stats.ncaa.org/team/31/15820,Arkansas,SEC,,116,,"1,587",623,"4,309",0.224,"1,472",187,324,"1,778",110,39,379,47,"2,002.50",19,
http://stats.ncaa.org/team/30/15820,Arkansas St.,Sun Belt,,114,,"1,461",643,"4,466",0.183,"1,360",111,169,"2,067",146,74,381,37,"1,836.50",43,
http://stats.ncaa.org/team/725/15820,Army West Point,Patriot,,99,,"1,225",563,"3,466",0.191,"1,120",125,183,"1,557",91,69,285,58,"1,561.50",37,
http://stats.ncaa.org/team/37/15820,Auburn,SEC,,103,,"1,189",450,"3,647",0.203,"1,073",101,200,"1,633",134,43,417,32,"1,541.50",7,
http://stats.ncaa.org/team/43/15820,Austin Peay,OVC,,125,,"1,662",619,"4,485",0.233,"1,519",178,169,"1,944",139,80,358,47,"2,099.00",20,
http://stats.ncaa.org/team/47/15820,Ball St.,MAC,,129,,"1,776",543,"4,646",0.265,"1,656",166,186,"2,047",151,89,347,47,"2,204.50",18,
http://stats.ncaa.org/team/51/15820,Baylor,Big 12,,103,,"1,432",478,"3,391",0.281,"1,285",110,211,"1,390",111,69,394,26,"1,808.00",29,
http://stats.ncaa.org/team/52/15820,Bellarmine,ASUN,,104,,"1,200",629,"3,614",0.158,"1,117",122,138,"1,498",161,30,208,33,"1,456.00",28,
http://stats.ncaa.org/team/14927/15820,Belmont,OVC,,104,,"1,155",578,"3,582",0.161,"1,080",119,201,"1,414",166,46,327,38,"1,483.50",33,
http://stats.ncaa.org/team/61/15820,Bethune-Cookman,SWAC,,90,,775,471,"2,749",0.111,669,99,110,"1,106",214,80,238,41,"1,073.00",29,
http://stats.ncaa.org/team/62/15820,Binghamton,America East,,86,,843,500,"2,882",0.119,762,118,220,"1,160",178,27,266,21,"1,121.00",35,
http://stats.ncaa.org/team/66/15820,Boise St.,Mountain West,,129,,"1,623",550,"4,187",0.256,"1,451",228,234,"1,642",182,56,605,60,"2,209.50",29,
http://stats.ncaa.org/team/67/15820,Boston College,ACC,,127,,"1,579",708,"4,265",0.204,"1,454",175,205,"1,733",147,80,364,32,"2,016.00",40,
http://stats.ncaa.org/team/71/15820,Bowling Green,MAC,,109,,"1,490",489,"4,030",0.248,"1,380",161,217,"1,805",131,55,398,35,"1,905.00",26,
http://stats.ncaa.org/team/72/15820,Bradley,MVC,,125,,"1,575",676,"4,582",0.196,"1,479",156,161,"2,078",153,55,362,33,"1,967.00",25,
http://stats.ncaa.org/team/80/15820,Brown,Ivy League,,92,,"1,235",419,"3,270",0.25,"1,117",138,159,"1,478",102,51,356,36,"1,602.00",21,
http://stats.ncaa.org/team/81/15820,Bryant,NEC,,118,,"1,550",701,"4,262",0.199,"1,411",159,213,"1,789",120,51,381,37,"1,950.50",53,
http://stats.ncaa.org/team/83/15820,Bucknell,Patriot,,89,,990,514,"3,080",0.155,892,122,200,"1,338",129,20,229,26,"1,246.50",45,
http://stats.ncaa.org/team/86/15820,Buffalo,MAC,,119,,"1,510",589,"4,275",0.215,"1,395",142,242,"1,717",168,49,358,33,"1,880.00",26,
http://stats.ncaa.org/team/87/15820,Butler,Big East,,113,,"1,457",620,"4,396",0.19,"1,327",135,233,"1,918",134,47,404,35,"1,841.00",16,
http://stats.ncaa.org/team/77/15820,BYU,WCC,,107,,"1,502",399,"3,345",0.33,"1,364",191,246,"1,460",99,46,429,29,"1,953.50",17,
http://stats.ncaa.org/team/90/15820,Cal Poly,Big West,,112,,"1,452",555,"4,049",0.222,"1,338",146,305,"1,668",132,59,359,45,"1,836.50",23,
http://stats.ncaa.org/team/97/15820,Cal St. Fullerton,Big West,,101,,"1,348",559,"4,276",0.185,"1,264",118,155,"1,966",85,34,271,32,"1,635.50",28,
http://stats.ncaa.org/team/107/15820,California,Pac-12,,105,,"1,163",564,"3,435",0.174,"1,077",130,162,"1,423",186,47,296,60,"1,488.00",31,
http://stats.ncaa.org/team/30135/15820,California Baptist,WAC,,85,,"1,084",435,"3,046",0.213,"1,011",152,164,"1,271",114,29,280,22,"1,405.00",17,
http://stats.ncaa.org/team/115/15820,Campbell,Big South,,115,,"1,445",673,"4,197",0.184,"1,313",174,171,"1,847",132,43,376,73,"1,850.00",25,
http://stats.ncaa.org/team/116/15820,Canisius,MAAC,,113,,"1,361",552,"4,154",0.195,"1,242",167,191,"1,848",163,45,351,34,"1,748.50",39,
http://stats.ncaa.org/team/1004/15820,Central Ark.,ASUN,,88,,998,470,"2,956",0.179,936,111,122,"1,162",167,35,352,31,"1,320.00",17,
http://stats.ncaa.org/team/127/15820,Central Conn. St.,NEC,,101,,"1,136",561,"3,523",0.163,"1,034",148,161,"1,443",134,81,343,30,"1,536.50",26,
http://stats.ncaa.org/team/129/15820,Central Mich.,MAC,,112,,"1,572",622,"4,537",0.209,"1,451",135,219,"2,100",123,55,260,17,"1,892.00",20,
http://stats.ncaa.org/team/48/15820,Charleston So.,Big South,,95,,"1,143",577,"3,156",0.179,"1,036",147,259,"1,165",182,35,196,18,"1,423.00",24,
http://stats.ncaa.org/team/458/15820,Charlotte,C-USA,,91,,"1,176",397,"3,217",0.242,"1,080",137,166,"1,373",125,59,309,54,"1,526.50",22,
http://stats.ncaa.org/team/693/15820,Chattanooga,SoCon,,116,,"1,350",584,"4,245",0.18,"1,232",135,170,"1,952",183,49,361,47,"1,714.50",36,
http://stats.ncaa.org/team/136/15820,Chicago St.,WAC,,104,,"1,400",582,"3,792",0.216,"1,241",155,152,"1,610",160,58,283,33,"1,754.50",20,
http://stats.ncaa.org/team/140/15820,Cincinnati,AAC,,113,,"1,536",662,"4,109",0.213,"1,439",177,206,"1,806",118,43,280,30,"1,896.00",17,
http://stats.ncaa.org/team/147/15820,Clemson,ACC,,107,,"1,339",525,"3,638",0.224,"1,213",122,276,"1,425",174,59,272,33,"1,656.00",21,
http://stats.ncaa.org/team/148/15820,Cleveland St.,Horizon,,106,,"1,155",596,"3,434",0.163,"1,069",141,169,"1,368",197,51,270,40,"1,482.00",29,
http://stats.ncaa.org/team/149/15820,Coastal Carolina,Sun Belt,,101,,"1,319",472,"3,365",0.252,"1,189",168,247,"1,351",147,86,339,36,"1,742.50",24,
http://stats.ncaa.org/team/1014/15820,Col. of Charleston,CAA,,112,,"1,332",591,"3,881",0.191,"1,214",195,204,"1,692",181,28,404,39,"1,757.00",31,
http://stats.ncaa.org/team/153/15820,Colgate,Patriot,,101,,"1,240",484,"3,414",0.221,"1,096",127,223,"1,341",111,50,351,56,"1,592.50",20,
