school,playerstatsurl,matchstatsurl
A&M-Corpus Christi Islanders,https://stats.ncaa.org/team/26172/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=26172&stats_player_seq=-100
Abilene Christian Wildcats,https://stats.ncaa.org/team/2/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=2&stats_player_seq=-100
Air Force Falcons,https://stats.ncaa.org/team/721/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=721&stats_player_seq=-100
Akron Zips,https://stats.ncaa.org/team/5/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=5&stats_player_seq=-100
Alabama Crimson Tide,https://stats.ncaa.org/team/8/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=8&stats_player_seq=-100
Alabama A&M Bulldogs,https://stats.ncaa.org/team/6/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=6&stats_player_seq=-100
Alabama St. Lady Hornets,https://stats.ncaa.org/team/7/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=7&stats_player_seq=-100
UAlbany Great Danes,https://stats.ncaa.org/team/14/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=14&stats_player_seq=-100
Alcorn Lady Braves,https://stats.ncaa.org/team/17/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=17&stats_player_seq=-100
American Eagles,https://stats.ncaa.org/team/23/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=23&stats_player_seq=-100
App State Mountaineers,https://stats.ncaa.org/team/27/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=27&stats_player_seq=-100
Arizona Wildcats,https://stats.ncaa.org/team/29/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=29&stats_player_seq=-100
Arizona St. Sun Devils,https://stats.ncaa.org/team/28/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=28&stats_player_seq=-100
Ark.-Pine Bluff Lady Lions,https://stats.ncaa.org/team/2678/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=2678&stats_player_seq=-100
Arkansas Razorbacks,https://stats.ncaa.org/team/31/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=31&stats_player_seq=-100
Arkansas St. Red Wolves,https://stats.ncaa.org/team/30/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=30&stats_player_seq=-100
Army West Point Black Knights,https://stats.ncaa.org/team/725/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=725&stats_player_seq=-100
Auburn Tigers,https://stats.ncaa.org/team/37/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=37&stats_player_seq=-100
Austin Peay Governors,https://stats.ncaa.org/team/43/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=43&stats_player_seq=-100
Ball St. Cardinals,https://stats.ncaa.org/team/47/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=47&stats_player_seq=-100
Baylor Lady Bears,https://stats.ncaa.org/team/51/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=51&stats_player_seq=-100
Belmont Bruins,https://stats.ncaa.org/team/14927/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=14927&stats_player_seq=-100
